;i;j;cor;p
1;X;user_name.adelmo;-0.0291158718248057;0.000411305718243993
2;X;user_name.carlitos;-0.0172438610380743;0.0364416896280226
3;user_name.adelmo;user_name.carlitos;-0.216632280527694;0
4;X;user_name.charles;0.0833501993214194;0
5;user_name.adelmo;user_name.charles;-0.230867241548837;0
6;user_name.carlitos;user_name.charles;-0.20557548969116;0
7;X;user_name.eurico;-0.00885468556321581;0.282750763337642
8;user_name.adelmo;user_name.eurico;-0.21210909587523;0
9;user_name.carlitos;user_name.eurico;-0.188872318826904;0
10;user_name.charles;user_name.eurico;-0.20128316586191;0
11;X;user_name.jeremy;-0.00749838652768361;0.363021356772873
12;user_name.adelmo;user_name.jeremy;-0.225582447276617;0
13;user_name.carlitos;user_name.jeremy;-0.200869650252269;0
14;user_name.charles;user_name.jeremy;-0.214068844918485;0
15;user_name.eurico;user_name.jeremy;-0.196675582235472;0
16;X;user_name.pedro;-0.0236500162780615;0.00411349271007821
17;user_name.adelmo;user_name.pedro;-0.193896139251055;0
18;user_name.carlitos;user_name.pedro;-0.17265461097186;0
19;user_name.charles;user_name.pedro;-0.183999788391025;0
20;user_name.eurico;user_name.pedro;-0.169049660294045;0
21;user_name.jeremy;user_name.pedro;-0.179787839475038;0
22;X;raw_timestamp_part_1;-0.00949992492816856;0.249141227147917
23;user_name.adelmo;raw_timestamp_part_1;0.0109098197263872;0.185675168172924
24;user_name.carlitos;raw_timestamp_part_1;0.547266420563727;0
25;user_name.charles;raw_timestamp_part_1;0.0218078781183113;0.0081504506352611
26;user_name.eurico;raw_timestamp_part_1;-0.708880953134717;0
27;user_name.jeremy;raw_timestamp_part_1;-0.345556589313482;0
28;user_name.pedro;raw_timestamp_part_1;0.51036144263499;0
29;X;raw_timestamp_part_2;0.0124632215593126;0.130549006148907
30;user_name.adelmo;raw_timestamp_part_2;0.00362713603142595;0.659937028681113
31;user_name.carlitos;raw_timestamp_part_2;-0.00470856878878989;0.567872422470938
32;user_name.charles;raw_timestamp_part_2;-0.00324699546486962;0.69366534520225
33;user_name.eurico;raw_timestamp_part_2;-0.00127493275853531;0.877090218674832
34;user_name.jeremy;raw_timestamp_part_2;0.00648324103268466;0.43158997952734
35;user_name.pedro;raw_timestamp_part_2;-0.00131625112496901;0.873140127696202
36;raw_timestamp_part_1;raw_timestamp_part_2;-0.00385740462228991;0.639832002903618
37;X;cvtd_timestamp.02.12.2011.13.32;-0.154808310974454;0
38;user_name.adelmo;cvtd_timestamp.02.12.2011.13.32;0.19724395637503;0
